Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Zsim10336	401	1653199	22526	1187	0.07180	1.00000	0.00000	0.00000	0.99964	0.00018	0.00001	0.00072	0.00072	0.00002	0.99928	0.00072	0.00002	0.00036	0.00018	0.00001	0.99964	0.00018	0.00001	0.00072	0.00072	0.00002	0.00000	0.00000	0.00000
Zsim11362	780	1713725	30078	1843	0.10754	1.00000	0.00000	0.00000	0.99946	0.00027	0.00001	0.00108	0.00107	0.00003	0.99892	0.00107	0.00003	0.00054	0.00027	0.00001	0.99946	0.00027	0.00001	0.00108	0.00107	0.00003	0.00000	0.00000	0.00000
Zsim11102	380	1561684	26624	1544	0.09887	1.00000	0.00000	0.00000	0.99951	0.00025	0.00001	0.00099	0.00099	0.00003	0.99901	0.00099	0.00003	0.00049	0.00025	0.00001	0.99951	0.00025	0.00001	0.00099	0.00099	0.00003	0.00000	0.00000	0.00000
Zsim11220	527	1735942	29900	1739	0.10018	1.00000	0.00000	0.00000	0.99950	0.00025	0.00001	0.00100	0.00100	0.00002	0.99900	0.00100	0.00002	0.00050	0.00025	0.00001	0.99950	0.00025	0.00001	0.00100	0.00100	0.00002	0.00000	0.00000	0.00000
ZJlo012	256	1807425	29958	1341	0.07419	1.00000	0.00000	0.00000	0.99963	0.00019	0.00001	0.00074	0.00074	0.00002	0.99926	0.00074	0.00002	0.00037	0.00019	0.00001	0.99963	0.00019	0.00001	0.00074	0.00074	0.00002	0.00000	0.00000	0.00000
ZJlo015	561	3039750	40225	2246	0.07389	1.00000	0.00000	0.00000	0.99963	0.00018	0.00001	0.00074	0.00074	0.00002	0.99926	0.00074	0.00002	0.00037	0.00018	0.00001	0.99963	0.00018	0.00001	0.00074	0.00074	0.00002	0.00000	0.00000	0.00000
ZJlo016	340	2017299	29193	1433	0.07104	1.00000	0.00000	0.00000	0.99964	0.00018	0.00001	0.00071	0.00071	0.00002	0.99929	0.00071	0.00002	0.00036	0.00018	0.00001	0.99964	0.00018	0.00001	0.00071	0.00071	0.00002	0.00000	0.00000	0.00000
ZJlo017	1059	4177725	43881	2552	0.06109	1.00000	0.00000	0.00000	0.99969	0.00015	0.00001	0.00061	0.00061	0.00001	0.99939	0.00061	0.00001	0.00031	0.00015	0.00001	0.99969	0.00015	0.00001	0.00061	0.00061	0.00001	0.00000	0.00000	0.00000
ZJlo021	500	2886149	39154	2379	0.08243	1.00000	0.00000	0.00000	0.99959	0.00021	0.00001	0.00082	0.00082	0.00002	0.99918	0.00082	0.00002	0.00041	0.00021	0.00001	0.99959	0.00021	0.00001	0.00082	0.00082	0.00002	0.00000	0.00000	0.00000
ZJlo022	594	2842802	35823	1867	0.06567	1.00000	0.00000	0.00000	0.99967	0.00016	0.00001	0.00066	0.00066	0.00002	0.99934	0.00066	0.00002	0.00033	0.00016	0.00001	0.99967	0.00016	0.00001	0.00066	0.00066	0.00002	0.00000	0.00000	0.00000
ZJlo024	293	1712362	27354	1189	0.06944	1.00000	0.00000	0.00000	0.99965	0.00017	0.00001	0.00069	0.00069	0.00002	0.99931	0.00069	0.00002	0.00035	0.00017	0.00001	0.99965	0.00017	0.00001	0.00069	0.00069	0.00002	0.00000	0.00000	0.00000
ZJlo031	552	2882344	42990	2536	0.08798	1.00000	0.00000	0.00000	0.99956	0.00022	0.00001	0.00088	0.00088	0.00002	0.99912	0.00088	0.00002	0.00044	0.00022	0.00001	0.99956	0.00022	0.00001	0.00088	0.00088	0.00002	0.00000	0.00000	0.00000
ZJlo045	92	1232398	23120	1039	0.08431	1.00000	0.00000	0.00000	0.99958	0.00021	0.00001	0.00084	0.00084	0.00003	0.99916	0.00084	0.00003	0.00042	0.00021	0.00001	0.99958	0.00021	0.00001	0.00084	0.00084	0.00003	0.00000	0.00000	0.00000
ZJlo046	397	2339767	38550	2038	0.08710	1.00000	0.00000	0.00000	0.99956	0.00022	0.00001	0.00087	0.00087	0.00002	0.99913	0.00087	0.00002	0.00044	0.00022	0.00001	0.99956	0.00022	0.00001	0.00087	0.00087	0.00002	0.00000	0.00000	0.00000
ZJlo050	523	2679886	41386	2461	0.09183	1.00000	0.00000	0.00000	0.99954	0.00023	0.00001	0.00092	0.00092	0.00002	0.99908	0.00092	0.00002	0.00046	0.00023	0.00001	0.99954	0.00023	0.00001	0.00092	0.00092	0.00002	0.00000	0.00000	0.00000
ZJlo052	328	2347198	37640	2025	0.08627	1.00000	0.00000	0.00000	0.99957	0.00022	0.00001	0.00086	0.00086	0.00002	0.99914	0.00086	0.00002	0.00043	0.00022	0.00001	0.99957	0.00022	0.00001	0.00086	0.00086	0.00002	0.00000	0.00000	0.00000
ZJlo055	294	2244056	35734	1764	0.07861	1.00000	0.00000	0.00000	0.99961	0.00020	0.00001	0.00079	0.00079	0.00002	0.99921	0.00079	0.00002	0.00039	0.00020	0.00001	0.99961	0.00020	0.00001	0.00079	0.00079	0.00002	0.00000	0.00000	0.00000
ZJja001	101	1097756	20057	775	0.07060	1.00000	0.00000	0.00000	0.99965	0.00018	0.00001	0.00071	0.00071	0.00003	0.99929	0.00071	0.00003	0.00035	0.00018	0.00001	0.99965	0.00018	0.00001	0.00071	0.00071	0.00003	0.00000	0.00000	0.00000
ZJja002	296	2263316	36700	2066	0.09128	1.00000	0.00000	0.00000	0.99954	0.00023	0.00001	0.00091	0.00091	0.00002	0.99909	0.00091	0.00002	0.00046	0.00023	0.00001	0.99954	0.00023	0.00001	0.00091	0.00091	0.00002	0.00000	0.00000	0.00000
ZJja003	296	2218741	36558	2032	0.09158	1.00000	0.00000	0.00000	0.99954	0.00023	0.00001	0.00092	0.00091	0.00002	0.99908	0.00091	0.00002	0.00046	0.00023	0.00001	0.99954	0.00023	0.00001	0.00092	0.00091	0.00002	0.00000	0.00000	0.00000
ZJja004	97	1065445	19441	701	0.06579	1.00000	0.00000	0.00000	0.99967	0.00016	0.00001	0.00066	0.00066	0.00002	0.99934	0.00066	0.00002	0.00033	0.00016	0.00001	0.99967	0.00016	0.00001	0.00066	0.00066	0.00002	0.00000	0.00000	0.00000
ZJja005	321	2340939	38046	2142	0.09150	1.00000	0.00000	0.00000	0.99954	0.00023	0.00001	0.00092	0.00091	0.00002	0.99908	0.00091	0.00002	0.00046	0.00023	0.00001	0.99954	0.00023	0.00001	0.00092	0.00091	0.00002	0.00000	0.00000	0.00000
ZJja009	352	2470381	39520	2334	0.09448	1.00000	0.00000	0.00000	0.99953	0.00024	0.00001	0.00094	0.00094	0.00002	0.99906	0.00094	0.00002	0.00047	0.00024	0.00001	0.99953	0.00024	0.00001	0.00094	0.00094	0.00002	0.00000	0.00000	0.00000
ZJja010	90	1198683	22311	1033	0.08618	1.00000	0.00000	0.00000	0.99957	0.00022	0.00001	0.00086	0.00086	0.00003	0.99914	0.00086	0.00003	0.00043	0.00022	0.00001	0.99957	0.00022	0.00001	0.00086	0.00086	0.00003	0.00000	0.00000	0.00000
ZJja012	614	2851263	38128	2084	0.07309	1.00000	0.00000	0.00000	0.99963	0.00018	0.00001	0.00073	0.00073	0.00002	0.99927	0.00073	0.00002	0.00037	0.00018	0.00001	0.99963	0.00018	0.00001	0.00073	0.00073	0.00002	0.00000	0.00000	0.00000
ZJja013	412	2412523	36836	2194	0.09094	1.00000	0.00000	0.00000	0.99955	0.00023	0.00001	0.00091	0.00091	0.00002	0.99909	0.00091	0.00002	0.00045	0.00023	0.00001	0.99955	0.00023	0.00001	0.00091	0.00091	0.00002	0.00000	0.00000	0.00000
ZJja014	404	2463680	37708	2038	0.08272	1.00000	0.00000	0.00000	0.99959	0.00021	0.00001	0.00083	0.00083	0.00002	0.99917	0.00083	0.00002	0.00041	0.00021	0.00001	0.99959	0.00021	0.00001	0.00083	0.00083	0.00002	0.00000	0.00000	0.00000
