ID,tissue.num,Catalogue.num,Institution,Genus,Species,Subspecies,Island.Province,Country,lat,long
ZJsi029,ZJsi029,,South China Institute for Endangered Animals,Zosterops,simplex,,Guangxi,China; Guangxi,22.8152,108.3275
ZJsi031,ZJsi031,,South China Institute for Endangered Animals,Zosterops,simplex,,Guangxi,China; Guangxi,22.8152,108.3275
ZPxx001,ZPxx001,,University of Washington Burke Museum,Zosterops,simplex,,Singapore,Singapore,1.3188893,103.8512346
ZPxx002,ZPxx002,,University of Washington Burke Museum,Zosterops,simplex,,Singapore,Singapore,1.3521,103.8198
ZMxx002,ZMxx002,,KU,Zosterops,japonicus,,Batanes,KU17865 dup,20.47,121.991
ZMxx003,ZMxx003,,AMNH,Zosterops,japonicus,,Lanyu,Taiwan; Lanyu,22.08112,121.50478
ZMxx004,ZMxx004,,AMNH,Zosterops,japonicus,,Lanyu,Taiwan; Lanyu,22.08112,121.50478
ZMxx005,ZMxx005,,AMNH,Zosterops,japonicus,,Lanyu,Taiwan; Lanyu,22.08112,121.50478
ZMxx006,ZMxx006,,AMNH,Zosterops,japonicus,,Lanyu,Taiwan; Lanyu,22.00933,121.5721
ZMOxx001,ZMOxx001,,Cincinnati Museum Center,Zosterops,japonicus,,Panay,Philippines, Panay,11.4062,122.1235
ZMOxx002,ZMOxx002,,Cincinnati Museum Center,Zosterops,japonicus,,Panay,Philippines, Panay,11.4062,122.1235
ZMOxx003,ZMOxx003,,Cincinnati Museum Center,Zosterops,japonicus,,Panay,Philippines, Panay,11.3936,122.1661
ZMOxx005,ZMOxx005,,Cincinnati Museum Center,Zosterops,japonicus,,Panay,Philippines, Panay,11.4062,122.1235
ZMOha001,ZMOha001,,Cincinnati Museum Center,Zosterops,japonicus,halconensis,Mindoro,Philippines, Mindoro,13.3082,121.0765
ZMOwh002,ZMOwh002,,Cincinnati Museum Center,Zosterops,japonicus,whiteheadi,Luzon,Philippines, Luzon,15.5286,119.9608
ZMOwh003,ZMOwh003,,Field Museum,Zosterops,japonicus,whiteheadi,Luzon,Philippines, Luzon,17.467,121.067
ZMOwh004,ZMOwh004,,Field Museum,Zosterops,japonicus,whiteheadi,Luzon,Philippines, Luzon,15.48194,120.1194
ZMOwh005,ZMOwh005,,Field Museum,Zosterops,japonicus,whiteheadi,Luzon,Philippines, Luzon,17.0373,121.101
ZMOwh006,ZMOwh006,,Field Museum,Zosterops,japonicus,whiteheadi,Luzon,Philippines, Luzon,16.5976,120.8986
ZMOvu002,ZMOvu002,,Cincinnati Museum Center,Zosterops,japonicus,vulcani,Mindanao,Philippines, Mindanao,7.8514,126.0458
ZMOvu003,ZMOvu003,,Cincinnati Museum Center,Zosterops,japonicus,vulcani,Mindanao,Philippines, Mindanao,7.8514,126.0458
ZMOvu004,ZMOvu004,,Cincinnati Museum Center,Zosterops,japonicus,vulcani,Mindanao,Philippines, Mindanao,7.0189,125.4984
ZMOvu005,ZMOvu005,,Cincinnati Museum Center,Zosterops,japonicus,vulcani,Mindanao,Philippines, Mindanao,7.0189,125.4984
ZMOmo001,ZMOmo001,,AMNH,Zosterops,japonicus,montanus,Sulawesi,Indonesia; Sulawesi,-5.4081,119.8989
